Latitude   Longitude
  88.542     0.000
  86.653     0.000
  84.753     0.000
  82.851     0.000
  80.947     0.000
  79.043     0.000
  77.139     0.000
  75.235     0.000
  73.331     0.000
  71.426     0.000
  69.522     0.000
  67.617     0.000
  65.713     0.000
  63.808     0.000
  61.903     0.000
  59.999     0.000
  58.094     0.000
  56.189     0.000
  54.285     0.000
  52.380     0.000
  50.475     0.000
  48.571     0.000
  46.666     0.000
  44.761     0.000
  42.856     0.000
  40.952     0.000
  39.047     0.000
  37.142     0.000
  35.237     0.000
  33.333     0.000
  31.428     0.000
  29.523     0.000
  27.619     0.000
  25.714     0.000
  23.809     0.000
  21.904     0.000
  20.000     0.000
  18.095     0.000
  16.190     0.000
  14.286     0.000
  12.381     0.000
  10.476     0.000
   8.571     0.000
   6.667     0.000
   4.762     0.000
   2.857     0.000
   0.952     0.000
  -0.952     0.000
  -2.857     0.000
  -4.762     0.000
  -6.667     0.000
  -8.571     0.000
 -10.476     0.000
 -12.381     0.000
 -14.286     0.000
 -16.190     0.000
 -18.095     0.000
 -20.000     0.000
 -21.904     0.000
 -23.809     0.000
 -25.714     0.000
 -27.619     0.000
 -29.523     0.000
 -31.428     0.000
 -33.333     0.000
 -35.237     0.000
 -37.142     0.000
 -39.047     0.000
 -40.952     0.000
 -42.856     0.000
 -44.761     0.000
 -46.666     0.000
 -48.571     0.000
 -50.475     0.000
 -52.380     0.000
 -54.285     0.000
 -56.189     0.000
 -58.094     0.000
 -59.999     0.000
 -61.903     0.000
 -63.808     0.000
 -65.713     0.000
 -67.617     0.000
 -69.522     0.000
 -71.426     0.000
 -73.331     0.000
 -75.235     0.000
 -77.139     0.000
 -79.043     0.000
 -80.947     0.000
 -82.851     0.000
 -84.753     0.000
 -86.653     0.000
 -88.542     0.000
  88.542     1.875
  86.653     1.875
  84.753     1.875
  82.851     1.875
  80.947     1.875
  79.043     1.875
  77.139     1.875
  75.235     1.875
  73.331     1.875
  71.426     1.875
  69.522     1.875
  67.617     1.875
  65.713     1.875
  63.808     1.875
  61.903     1.875
  59.999     1.875
  58.094     1.875
  56.189     1.875
  54.285     1.875
  52.380     1.875
  50.475     1.875
  48.571     1.875
  46.666     1.875
  44.761     1.875
  42.856     1.875
  40.952     1.875
  39.047     1.875
  37.142     1.875
  35.237     1.875
  33.333     1.875
  31.428     1.875
  29.523     1.875
  27.619     1.875
  25.714     1.875
  23.809     1.875
  21.904     1.875
  20.000     1.875
  18.095     1.875
  16.190     1.875
  14.286     1.875
  12.381     1.875
  10.476     1.875
   8.571     1.875
   6.667     1.875
   4.762     1.875
   2.857     1.875
   0.952     1.875
  -0.952     1.875
  -2.857     1.875
  -4.762     1.875
  -6.667     1.875
  -8.571     1.875
 -10.476     1.875
 -12.381     1.875
 -14.286     1.875
 -16.190     1.875
 -18.095     1.875
 -20.000     1.875
 -21.904     1.875
 -23.809     1.875
 -25.714     1.875
 -27.619     1.875
 -29.523     1.875
 -31.428     1.875
 -33.333     1.875
 -35.237     1.875
 -37.142     1.875
 -39.047     1.875
 -40.952     1.875
 -42.856     1.875
 -44.761     1.875
 -46.666     1.875
 -48.571     1.875
 -50.475     1.875
 -52.380     1.875
 -54.285     1.875
 -56.189     1.875
 -58.094     1.875
 -59.999     1.875
 -61.903     1.875
 -63.808     1.875
 -65.713     1.875
 -67.617     1.875
 -69.522     1.875
 -71.426     1.875
 -73.331     1.875
 -75.235     1.875
 -77.139     1.875
 -79.043     1.875
 -80.947     1.875
 -82.851     1.875
 -84.753     1.875
 -86.653     1.875
 -88.542     1.875
  88.542     3.750
  86.653     3.750
  84.753     3.750
  82.851     3.750
  80.947     3.750
  79.043     3.750
  77.139     3.750
  75.235     3.750
  73.331     3.750
  71.426     3.750
  69.522     3.750
  67.617     3.750
  65.713     3.750
  63.808     3.750
  61.903     3.750
  59.999     3.750
  58.094     3.750
  56.189     3.750
  54.285     3.750
  52.380     3.750
  50.475     3.750
  48.571     3.750
  46.666     3.750
  44.761     3.750
  42.856     3.750
  40.952     3.750
  39.047     3.750
  37.142     3.750
  35.237     3.750
  33.333     3.750
  31.428     3.750
  29.523     3.750
  27.619     3.750
  25.714     3.750
  23.809     3.750
  21.904     3.750
  20.000     3.750
  18.095     3.750
  16.190     3.750
  14.286     3.750
  12.381     3.750
  10.476     3.750
   8.571     3.750
   6.667     3.750
   4.762     3.750
   2.857     3.750
   0.952     3.750
  -0.952     3.750
  -2.857     3.750
  -4.762     3.750
  -6.667     3.750
  -8.571     3.750
 -10.476     3.750
 -12.381     3.750
 -14.286     3.750
 -16.190     3.750
 -18.095     3.750
 -20.000     3.750
 -21.904     3.750
 -23.809     3.750
 -25.714     3.750
 -27.619     3.750
 -29.523     3.750
 -31.428     3.750
 -33.333     3.750
 -35.237     3.750
 -37.142     3.750
 -39.047     3.750
